domain,method,backbone,family,family_label,auroc
midog,kNN,resnet18,resnet_like,ResNet-like (R18/R50),0.684021960278169
midog,kNN,resnet50,resnet_like,ResNet-like (R18/R50),0.7163032046669304
midog,ELogitNorm,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.6020506250160321
midog,ELogitNorm,densenet121,dense_connection,dense-connection (DenseNet121),0.460284244249704
midog,ELogitNorm,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5777925235688894
midog,ELogitNorm,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5321256485410443
midog,ELogitNorm,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.4834008594561098
midog,ELogitNorm,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.6422368810086662
midog,ELogitNorm,resnet18,resnet_like,ResNet-like (R18/R50),0.3767140857106984
midog,ELogitNorm,resnet50,resnet_like,ResNet-like (R18/R50),0.5157411695137444
midog,Mahalanobis,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.8006503298901986
midog,Mahalanobis,densenet121,dense_connection,dense-connection (DenseNet121),0.9103767917148756
midog,Mahalanobis,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.6730738854139524
midog,Mahalanobis,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5808646133865082
midog,Mahalanobis,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.7143347990619695
midog,Mahalanobis,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.9441481785497792
midog,Mahalanobis,resnet18,resnet_like,ResNet-like (R18/R50),0.7326721578612693
midog,Mahalanobis,resnet50,resnet_like,ResNet-like (R18/R50),0.8386670194855953
midog,MSP,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.5206071680745672
midog,MSP,densenet121,dense_connection,dense-connection (DenseNet121),0.4465772963719503
midog,MSP,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.4856791066840736
midog,MSP,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.4931213809620886
midog,MSP,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.4692541254838321
midog,MSP,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.5531857659163415
midog,MSP,resnet18,resnet_like,ResNet-like (R18/R50),0.437998936142924
midog,MSP,resnet50,resnet_like,ResNet-like (R18/R50),0.5124496929260255
midog,ReAct,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.5223740753691436
midog,ReAct,densenet121,dense_connection,dense-connection (DenseNet121),0.4377859622168729
midog,ReAct,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5524347881263829
midog,ReAct,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5101721207342774
midog,ReAct,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.4662812659899203
midog,ReAct,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.6409759133577517
midog,ReAct,resnet18,resnet_like,ResNet-like (R18/R50),0.4111098810451181
