domain,backbone,draw,n_sub,auroc,cond_prec,shrinkage
camelyon17,resnet18,4,1896,0.9460090510612441,2.8141579591384807e+57,0.00019907781754718946
camelyon17,resnet18,5,1896,0.9262293755088437,7.518050108497151e+57,0.00019322741774633215
camelyon17,resnet18,6,1896,0.9435165783902328,1.3260385110547563e+57,0.00020510179018631537
camelyon17,resnet18,7,1896,0.9424096895688759,2.368709400274343e+58,0.00018357959372906313
camelyon17,resnet18,8,1896,0.9487006240906535,1.920811414399402e+58,0.00020757848106145593
camelyon17,resnet18,9,1896,0.9307102839847687,3.661104106208479e+57,0.00020173332682264718
camelyon17,resnet18,10,1896,0.9444099694934045,1.4162617604152594e+57,0.00020829731835332772
camelyon17,resnet18,11,1896,0.9374725568721636,2.2467879659503008e+58,0.0001935981364464865
camelyon17,resnet18,12,1896,0.9381116105009415,8.036719460781393e+57,0.0001982216982143676
camelyon17,resnet18,13,1896,0.9323319878981461,5.948514066392976e+57,0.0002040531784007764
camelyon17,resnet18,14,1896,0.9349982814675711,8.474352781970113e+57,0.00019420912397211926
camelyon17,resnet18,15,1896,0.9436077980453168,1.7626176385668384e+58,0.00019318949699151548
camelyon17,resnet18,16,1896,0.9458602861091991,1.0807163065138783e+58,0.00020400508770179336
camelyon17,resnet18,17,1896,0.9410270143740695,5.099340257355317e+57,0.00019579935380123988
camelyon17,resnet18,18,1896,0.9447455329717898,5.871932400322075e+57,0.00020017790372953912
camelyon17,resnet18,19,1896,0.9390588575250784,4.5772073377221704e+58,0.00019447460728389107
camelyon17,resnet50,0,1896,0.8903867640015445,inf,0.0002410873371244015
camelyon17,resnet50,1,1896,0.8859072600179153,inf,0.00022910643498187447
camelyon17,resnet50,2,1896,0.8892666672071166,inf,0.00023845724032450202
camelyon17,resnet50,3,1896,0.8881947160512456,inf,0.00022703811269129018
camelyon17,resnet50,4,1896,0.89174324028263,inf,0.0002436951086739541
camelyon17,resnet50,5,1896,0.8827584520517611,inf,0.0002470707744309683
camelyon17,resnet50,6,1896,0.8859338851139456,inf,0.00023914292529504511
camelyon17,resnet50,7,1896,0.8991847505530595,inf,0.0002319333133960523
camelyon17,resnet50,8,1896,0.8863016580254013,inf,0.0002293011103786436
camelyon17,resnet50,9,1896,0.886555623619383,inf,0.00023481688810902802
camelyon17,resnet50,10,1896,0.8917354400778494,inf,0.0002439349069400351
camelyon17,resnet50,11,1896,0.8874379931890988,inf,0.0002205871025686047
camelyon17,resnet50,12,1896,0.8920576093802064,inf,0.00023376206221918297
camelyon17,resnet50,13,1896,0.8808477509891844,inf,0.0002424313037129852
camelyon17,resnet50,14,1896,0.8836873093004955,inf,0.0002359730047757535
camelyon17,resnet50,15,1896,0.8878315111555155,inf,0.00024561346283088077
camelyon17,resnet50,16,1896,0.9053718314702855,inf,0.00023295760572095915
camelyon17,resnet50,17,1896,0.8787557393952319,inf,0.0002338191919786341
camelyon17,resnet50,18,1896,0.8981884464943297,inf,0.0002293109546886763
camelyon17,resnet50,19,1896,0.888302508470185,inf,0.00024086112849030166
camelyon17,effb3,0,1896,0.8680018934475981,8.053002246458221e+26,0.00034130699863627387
camelyon17,effb3,1,1896,0.8683525570574208,9.671579585922753e+26,0.00034420044680648473
camelyon17,effb3,2,1896,0.8668871392591841,1.9039842673351485e+26,0.00035340498634985133
