domain,backbone,family,method,auroc,rank
skin_isic_pad,convnext_tiny,modern_cnn,Mahalanobis,0.948127905770731,1.0
skin_isic_pad,convnext_tiny,modern_cnn,kNN,0.9150308671203164,2.0
skin_isic_pad,densenet121,dense_connection,MSP,0.6801814598862719,7.0
skin_isic_pad,densenet121,dense_connection,Energy,0.696329766365887,4.0
skin_isic_pad,densenet121,dense_connection,ELogitNorm,0.6811036404713268,6.0
skin_isic_pad,densenet121,dense_connection,ViM,0.7498568252636897,3.0
skin_isic_pad,densenet121,dense_connection,ReAct,0.6881947356791442,5.0
skin_isic_pad,densenet121,dense_connection,Mahalanobis,0.9720482329757346,1.0
skin_isic_pad,densenet121,dense_connection,kNN,0.8965466704545967,2.0
skin_isic_pad,effb3,efficientnet_like,MSP,0.70330925292099,5.0
skin_isic_pad,effb3,efficientnet_like,Energy,0.6972790035940241,7.0
skin_isic_pad,effb3,efficientnet_like,ELogitNorm,0.7022980108857895,6.0
skin_isic_pad,effb3,efficientnet_like,ViM,0.7643388934734867,3.0
skin_isic_pad,effb3,efficientnet_like,ReAct,0.7159751439638884,4.0
skin_isic_pad,effb3,efficientnet_like,Mahalanobis,0.9510207118602796,1.0
skin_isic_pad,effb3,efficientnet_like,kNN,0.896019065914492,2.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,MSP,0.7367287165681354,6.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,Energy,0.7437600616891462,4.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,ELogitNorm,0.7364976077418075,7.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,ViM,0.7550719932178014,3.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,ReAct,0.7389665264230667,5.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,Mahalanobis,0.8899764156261132,1.0
skin_isic_pad,efficientnet_v2_s,efficientnet_like,kNN,0.8492539130670057,2.0
skin_isic_pad,mobilenet_v3_large,lightweight,MSP,0.714444188909482,4.0
skin_isic_pad,mobilenet_v3_large,lightweight,Energy,0.7019823500498292,7.0
skin_isic_pad,mobilenet_v3_large,lightweight,ELogitNorm,0.7105547964664023,6.0
skin_isic_pad,mobilenet_v3_large,lightweight,ViM,0.7575364024585469,3.0
skin_isic_pad,mobilenet_v3_large,lightweight,ReAct,0.7119797796687366,5.0
skin_isic_pad,mobilenet_v3_large,lightweight,Mahalanobis,0.9262210437551012,1.0
skin_isic_pad,mobilenet_v3_large,lightweight,kNN,0.9065643925558156,2.0
skin_isic_pad,regnet_y_3_2gf,nas_designed,MSP,0.7202692586930739,4.0
skin_isic_pad,regnet_y_3_2gf,nas_designed,Energy,0.6953399441731265,7.0
