backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet18,pixelate,4,0.03914910000000005,0.035467595000000046,0.043441164874999876,-4.136729033246089,-4.221202351332092,-4.0449738384932665,0.84568613,0.80653703,40.63206505775452
resnet18,pixelate,5,0.08405672499999983,0.08037286812500002,0.08764444862500005,-5.311610486873559,-5.390137188170451,-5.2259406771396,0.9582505099999999,0.8741937850000001,41.201518535614014
resnet18,jpeg_compression,1,0.01805563000000021,0.012998730625000145,0.022865516374999964,-2.4191482068363257,-2.5044176676694208,-2.327144204268813,0.7092261850000001,0.6911705549999999,41.562111139297485
resnet18,jpeg_compression,2,0.021382385000000004,0.016788048249999965,0.025949992875000036,-3.2294653948330385,-3.3155871281589735,-3.1405812490766136,0.77239413,0.751011745,40.65449905395508
resnet18,jpeg_compression,3,0.0226326699999998,0.017862660625000037,0.027001275000000036,-3.511173879479207,-3.5987281967241818,-3.4227669244552534,0.7930429399999999,0.7704102700000001,40.41649842262268
resnet18,jpeg_compression,4,0.021531459999999947,0.017133815874999878,0.025748692749999937,-3.839907922724956,-3.929457344112645,-3.7540587089822073,0.814168145,0.7926366850000001,40.99740529060364
resnet18,jpeg_compression,5,0.02213153000000012,0.017865549374999967,0.026378592374999822,-4.246273935683116,-4.336711002972674,-4.1545161056084225,0.840919795,0.8187882649999999,41.16091060638428
resnet50,gaussian_noise,1,0.16889834999999986,0.16379085462500004,0.17425511387500003,-3.3368281077342914,-3.415936663975139,-3.2504843956011316,0.9455684999999999,0.7766701500000001,46.02928161621094
resnet50,gaussian_noise,2,0.09880817000000008,0.09469770450000015,0.10320195562499994,-5.591347285836364,-5.669587262433669,-5.517379468906626,0.9920413300000002,0.8932331600000001,46.1569766998291
resnet50,gaussian_noise,3,0.05123276499999996,0.04825602650000021,0.05422493274999998,-7.160710878120867,-7.225134857459478,-7.0944449345306495,0.9988017599999999,0.9475689949999999,46.04010510444641
resnet50,gaussian_noise,4,0.03806707000000009,0.03557883562499994,0.04066835624999997,-7.713309374214026,-7.774360606807602,-7.648828425007071,0.9995038800000001,0.96143681,45.849634647369385
resnet50,gaussian_noise,5,0.02902166999999989,0.02694618062500011,0.031195095500000054,-8.14912500144536,-8.209080835000128,-8.08857394322284,0.99981948,0.9707978100000001,45.636393547058105
resnet50,shot_noise,1,0.17631441999999997,0.17083416174999985,0.18168758662499995,-2.014595322900071,-2.0943307978183032,-1.9299286994884814,0.85819175,0.6818773300000001,46.1084349155426
resnet50,shot_noise,2,0.16700798500000014,0.16168097062499998,0.17219116587500005,-3.4747375404350773,-3.5590810178352315,-3.3908956222844884,0.9524877300000001,0.785479745,45.888420820236206
resnet50,shot_noise,3,0.08776083500000009,0.08379608387499994,0.09155413787500008,-5.899914148822741,-5.976110558241083,-5.82629240277528,0.99474116,0.9069803249999999,46.096579790115356
resnet50,shot_noise,4,0.06635426500000008,0.06305478425000001,0.06991916524999985,-6.6231936972773635,-6.695092291398762,-6.550618574551746,0.997658205,0.9313039399999999,44.793229818344116
resnet50,shot_noise,5,0.04172883500000002,0.03912817562500004,0.044352223875000034,-7.571713515770796,-7.637866843487912,-7.500669773705446,0.99937599,0.957647155,46.48135590553284
resnet50,impulse_noise,1,0.165367865,0.15997100337500003,0.170598920625,-3.7654031338520646,-3.8438112630968364,-3.679700459644345,0.97433588,0.808968015,45.8897385597229
resnet50,impulse_noise,2,0.09975038000000014,0.0954024275000001,0.10414001875000006,-5.568037212287588,-5.645970389643115,-5.494028507285565,0.9982213600000001,0.8984709799999999,46.316407918930054
resnet50,impulse_noise,3,0.06683944500000016,0.06328897600000002,0.07033254487500007,-6.508899651848558,-6.580550080977246,-6.4394742651398875,0.9998156800000001,0.9329762349999999,45.16659235954285
resnet50,impulse_noise,4,0.04112125499999986,0.03851856550000013,0.04353606274999994,-7.408042699433407,-7.472230732011193,-7.344734933200436,0.99997302,0.9588517650000001,47.02505421638489
resnet50,impulse_noise,5,0.030103679999999966,0.028059334124999905,0.032173760750000044,-7.864515032833576,-7.922566688966892,-7.8062341944806715,0.99999646,0.96989278,47.05743217468262
resnet50,defocus_blur,1,0.003965139999999923,-0.002585776874999976,0.010761706499999982,-0.04461923442501359,-0.11510847402894879,0.029181586244596037,0.5110153599999999,0.50705022,45.92501950263977
resnet50,defocus_blur,2,0.023267165000000034,0.016907591625000044,0.029910712499999836,-0.2877448590297149,-0.36037033689328846,-0.21391310219176882,0.561943965,0.5386768,45.90187454223633
resnet50,defocus_blur,3,0.05731056000000001,0.05134789574999995,0.06351814449999989,-0.9123546024075946,-0.9851557974514226,-0.8344862944027049,0.66350035,0.60618979,45.820772647857666
resnet50,defocus_blur,4,0.08832783000000011,0.08303394762500002,0.093711298125,-1.9962495284091482,-2.0718017502634365,-1.9171280008299798,0.7910002500000001,0.70267242,45.642287254333496
