backbone,scope,corruption_type,n,spearman_abs_logit_gap,spearman_abs_logit_gap_ci_lo,spearman_abs_logit_gap_ci_hi,spearman_abs_logit_gap_p,spearman_delta_auroc,spearman_delta_auroc_ci_lo,spearman_delta_auroc_ci_hi,spearman_delta_auroc_p
resnet18,per_corruption,contrast,5,0.9999999999999999,,,1.4042654220543672e-24,0.8999999999999998,,,0.03738607346849874
resnet18,per_corruption,defocus_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet18,per_corruption,elastic_transform,5,0.8999999999999998,,,0.03738607346849874,0.19999999999999998,,,0.747060078104662
resnet18,per_corruption,fog,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet18,per_corruption,frost,5,0.9999999999999999,,,1.4042654220543672e-24,0.8999999999999998,,,0.03738607346849874
resnet18,per_corruption,gaussian_noise,5,-0.7,,,0.1881204043741873,0.8999999999999998,,,0.03738607346849874
resnet18,per_corruption,glass_blur,5,0.49999999999999994,,,0.39100221895577053,-0.49999999999999994,,,0.39100221895577053
resnet18,per_corruption,impulse_noise,5,0.8999999999999998,,,0.03738607346849874,-0.7999999999999999,,,0.10408803866182788
resnet18,per_corruption,jpeg_compression,5,0.9999999999999999,,,1.4042654220543672e-24,0.7,,,0.1881204043741873
resnet18,per_corruption,motion_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet18,per_corruption,pixelate,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet18,per_corruption,shot_noise,5,0.6,,,0.28475697986529375,0.8999999999999998,,,0.03738607346849874
resnet18,per_corruption,snow,5,0.8999999999999998,,,0.03738607346849874,0.7,,,0.1881204043741873
resnet18,per_corruption,zoom_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,pooled,ALL,75,0.5361048778168002,0.34412156428790586,0.6951190019680152,7.159328302268492e-07,0.2107837212537216,-0.03227586411717389,0.44702332835771347,0.06948799009680377
resnet50,per_corruption,brightness,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,contrast,5,0.9999999999999999,,,1.4042654220543672e-24,0.7,,,0.1881204043741873
resnet50,per_corruption,defocus_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,elastic_transform,5,0.8999999999999998,,,0.03738607346849874,-0.49999999999999994,,,0.39100221895577053
resnet50,per_corruption,fog,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,frost,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,gaussian_noise,5,0.9999999999999999,,,1.4042654220543672e-24,-0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,glass_blur,5,0.49999999999999994,,,0.39100221895577053,-0.6,,,0.28475697986529375
resnet50,per_corruption,impulse_noise,5,0.9999999999999999,,,1.4042654220543672e-24,-0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,jpeg_compression,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,motion_blur,5,0.8999999999999998,,,0.03738607346849874,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,pixelate,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,shot_noise,5,0.9999999999999999,,,1.4042654220543672e-24,-0.9999999999999999,,,1.4042654220543672e-24
resnet50,per_corruption,snow,5,0.8999999999999998,,,0.03738607346849874,0.6,,,0.28475697986529375
resnet50,per_corruption,zoom_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
